"Day","Date","Time","Place","Address","Notes","Cost"
"Day 3","15/11/2026","08:30-09:30","רכבת מדמאצ'יאנגי לקוראמה","Demachiyanagi Station Kyoto Japan","נסיעה לתחילת הטרק","1500 יין"
"Day 3","15/11/2026","09:30-13:00","טרק מקוראמה לקיבונה","Kurama dera Sakyo Ward Kyoto Japan","טרק כארבע וחצי קילומטר דרך יער ארזים ושורשי עצים","-"
"Day 3","15/11/2026","13:00-15:00","מקדש קיבונה וכפר קיבונה","180 Kuramakibunacho Sakyo Ward Kyoto Japan","מדרגות עם פנסי עץ אדומים וארוחת צהריים בכפר","חינם"
"Day 3","15/11/2026","18:00","סמטת פונטוצ'ו","Pontocho Kyoto Japan","ערב מסעדות וסאקה על הנהר","-"
